width=100
height=30
start=1,27
finish=60,28
42,29=tile
44,29=tile
0,29=tile
1,29=tile
3,29=tile
4,29=tile
9,29=tile
10,29=tile
13,29=tile
15,29=tile
16,29=tile
17,29=tile
18,29=tile
21,29=tile
23,29=tile
26,29=tile
30,29=tile
40,29=tile
41,29=tile
39,29=tile
38,29=tile
37,29=tile
36,29=tile
35,29=tile
34,29=tile
33,29=tile
32,29=tile
31,29=tile
29,29=tile
28,29=tile
27,29=tile
25,29=tile
24,29=tile
22,29=tile
20,29=tile
19,29=tile
14,29=tile
12,29=tile
11,29=tile
8,29=tile
7,29=tile
6,29=tile
5,29=tile
2,29=tile
43,29=tile
45,29=tile
46,29=tile
48,29=tile
47,29=tile
49,29=tile
50,29=tile
52,29=tile
53,29=tile
54,29=tile
56,29=tile
55,29=tile
51,29=tile
57,29=tile
59,29=tile
60,29=tile
61,29=tile
62,29=tile
63,29=tile
64,29=tile
65,29=tile
66,29=tile
67,29=tile
68,29=tile
69,29=tile
71,29=tile
70,29=tile
58,29=tile
72,29=tile
73,29=tile
74,29=tile
75,29=tile
76,29=tile
77,29=tile
78,29=tile
79,29=tile
80,29=tile
82,29=tile
83,29=tile
81,29=tile
84,29=tile
85,29=tile
86,29=tile
87,29=tile
88,29=tile
89,29=tile
90,29=tile
91,29=tile
92,29=tile
93,29=tile
94,29=tile
95,29=tile
96,29=tile
98,29=tile
99,29=tile
97,29=tile
11,25=tile
12,25=tile
13,25=tile
14,25=tile
19,19=tile
20,19=tile
21,19=tile
22,19=tile
23,19=tile
24,19=tile
4,23=tile
4,22=gravityboots
32,25=tile
32,24=tile
32,23=tile
32,26=tile
32,28=tile
32,27=tile
27,24=patrol
32,15=tile
32,14=tile
32,13=tile
32,12=tile
32,10=tile
32,9=tile
32,8=tile
32,7=tile
32,11=tile
32,6=tile
32,5=tile
32,4=tile
32,3=tile
32,2=tile
32,1=tile
32,0=tile
24,18=jumpplatform
32,22=tile
49,28=tile
49,27=tile
49,26=tile
50,26=tile
51,26=tile
52,26=tile
53,26=tile
50,28=gravityboots
51,28=jumpplatform
27,28=tile
26,28=tile
25,28=tile
24,28=tile
28,28=tile
29,28=tile
30,28=tile
31,28=tile
23,28=tile
22,28=tile
21,28=tile
21,27=tile
