width=50
height=20
start=0,11
finish=49,7
0,12=tile
1,12=tile
2,12=tile
3,12=tile
4,12=tile
5,12=tile
6,12=tile
7,12=tile
7,13=tile
8,13=tile
9,13=tile
10,13=tile
10,14=tile
11,14=tile
12,14=tile
13,14=tile
14,14=tile
14,15=tile
14,16=tile
14,17=tile
15,18=tile
14,18=tile
17,18=tile
16,18=tile
18,18=tile
19,18=tile
20,18=tile
21,18=tile
21,17=tile
22,17=tile
24,17=tile
23,17=tile
24,16=tile
25,16=tile
26,16=tile
27,16=tile
26,15=tile
27,15=tile
28,15=tile
29,15=tile
29,14=tile
30,14=tile
31,14=tile
32,14=tile
32,13=tile
33,12=tile
33,13=tile
34,12=tile
34,11=tile
35,11=tile
35,10=tile
36,10=tile
37,10=tile
38,10=tile
39,9=tile
39,10=tile
40,9=tile
41,9=tile
42,9=tile
43,9=tile
43,8=tile
44,8=tile
46,8=tile
47,8=tile
45,8=tile
48,8=tile
49,8=tile
12,9=ghost
28,11=ghost
43,16=tile
45,16=tile
48,17=tile
43,17=tile
45,17=tile
44,17=tile
46,16=tile
48,16=tile
48,18=tile
49,19=tile
49,17=tile
49,16=tile
49,14=tile
49,13=tile
49,11=tile
49,10=tile
49,9=tile
49,12=tile
49,18=tile
49,15=tile
48,19=tile
48,15=tile
48,13=tile
48,11=tile
48,10=tile
48,9=tile
48,14=tile
48,12=tile
47,9=tile
47,10=tile
47,11=tile
47,13=tile
47,12=tile
47,14=tile
47,15=tile
47,16=tile
47,18=tile
47,19=tile
47,17=tile
46,19=tile
46,18=tile
46,17=tile
46,14=tile
46,13=tile
46,10=tile
46,9=tile
46,11=tile
46,12=tile
46,15=tile
45,15=tile
45,14=tile
45,13=tile
45,12=tile
45,10=tile
45,9=tile
45,11=tile
45,18=tile
45,19=tile
44,18=tile
44,19=tile
43,18=tile
43,19=tile
44,16=tile
44,15=tile
44,14=tile
44,13=tile
44,11=tile
44,10=tile
44,9=tile
44,12=tile
43,10=tile
43,11=tile
43,12=tile
43,13=tile
43,14=tile
43,15=tile
42,10=tile
42,12=tile
42,13=tile
42,15=tile
42,16=tile
42,18=tile
42,19=tile
42,17=tile
42,14=tile
42,11=tile
41,11=tile
41,12=tile
41,13=tile
41,14=tile
41,15=tile
41,16=tile
41,17=tile
41,18=tile
41,19=tile
41,10=tile
40,10=tile
40,11=tile
40,13=tile
40,14=tile
40,15=tile
40,16=tile
40,17=tile
40,18=tile
40,19=tile
40,12=tile
39,11=tile
39,12=tile
39,14=tile
39,16=tile
39,18=tile
39,19=tile
39,17=tile
39,15=tile
39,13=tile
38,11=tile
38,12=tile
38,13=tile
38,14=tile
38,15=tile
38,16=tile
38,17=tile
38,18=tile
38,19=tile
37,19=tile
37,18=tile
37,17=tile
37,16=tile
37,15=tile
37,14=tile
37,13=tile
37,11=tile
37,12=tile
36,11=tile
36,12=tile
36,13=tile
36,14=tile
36,15=tile
36,16=tile
36,17=tile
99,20=patrol
18,30=patrol
36,18=tile
36,19=tile
35,19=tile
35,18=tile
35,17=tile
35,16=tile
35,15=tile
35,14=tile
35,13=tile
35,12=tile
34,13=tile
34,14=tile
34,15=tile
34,16=tile
34,17=tile
34,18=tile
34,19=tile
33,19=tile
33,18=tile
33,17=tile
33,16=tile
33,15=tile
33,14=tile
32,15=tile
32,16=tile
32,17=tile
32,19=tile
32,18=tile
31,19=tile
31,18=tile
31,17=tile
31,16=tile
31,15=tile
30,15=tile
30,16=tile
30,17=tile
30,18=tile
30,19=tile
29,19=tile
29,18=tile
29,17=tile
29,16=tile
28,16=tile
28,17=tile
28,18=tile
28,19=tile
27,19=tile
27,18=tile
27,17=tile
26,17=tile
25,17=tile
25,18=tile
26,18=tile
24,18=tile
23,18=tile
22,18=tile
25,19=tile
26,19=tile
24,19=tile
23,19=tile
21,19=tile
22,19=tile
20,19=tile
19,19=tile
18,19=tile
17,19=tile
16,19=tile
15,19=tile
14,19=tile
13,19=tile
13,18=tile
13,17=tile
13,16=tile
13,15=tile
12,15=tile
12,16=tile
12,17=tile
12,18=tile
12,19=tile
11,19=tile
11,18=tile
11,16=tile
11,17=tile
11,15=tile
10,15=tile
10,16=tile
10,17=tile
10,19=tile
10,18=tile
9,19=tile
9,18=tile
9,17=tile
9,16=tile
9,15=tile
9,14=tile
8,14=tile
8,15=tile
8,16=tile
8,17=tile
8,18=tile
8,19=tile
7,19=tile
7,18=tile
7,17=tile
7,16=tile
7,15=tile
7,14=tile
6,14=tile
6,15=tile
6,16=tile
6,17=tile
6,18=tile
6,19=tile
6,13=tile
5,13=tile
5,14=tile
5,15=tile
5,16=tile
5,17=tile
5,18=tile
5,19=tile
4,19=tile
4,17=tile
4,16=tile
4,14=tile
4,13=tile
4,15=tile
4,18=tile
3,19=tile
3,18=tile
3,17=tile
3,15=tile
3,14=tile
3,13=tile
3,16=tile
2,13=tile
2,14=tile
2,15=tile
2,16=tile
2,17=tile
2,18=tile
2,19=tile
1,19=tile
1,18=tile
1,17=tile
1,16=tile
1,14=tile
1,13=tile
1,15=tile
0,13=tile
0,14=tile
0,15=tile
0,16=tile
20,11=patrol
0,17=tile
0,18=tile
0,19=tile
15,17=tile
16,17=tile
19,17=patrol
